Gene	name2	Chr	Strand	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	A_4_long_exp	A_4_short_exp	A_4_PDUI	A_5_long_exp	A_5_short_exp	A_5_PDUI	A_6_long_exp	A_6_short_exp	A_6_PDUI	A_7_long_exp	A_7_short_exp	A_7_PDUI	A_8_long_exp	A_8_short_exp	A_8_PDUI	A_9_long_exp	A_9_short_exp	A_9_PDUI	A_10_long_exp	A_10_short_exp	A_10_PDUI	A_11_long_exp	A_11_short_exp	A_11_PDUI	A_12_long_exp	A_12_short_exp	A_12_PDUI	A_13_long_exp	A_13_short_exp	A_13_PDUI	A_14_long_exp	A_14_short_exp	A_14_PDUI	A_15_long_exp	A_15_short_exp	A_15_PDUI	A_16_long_exp	A_16_short_exp	A_16_PDUI	A_17_long_exp	A_17_short_exp	A_17_PDUI	A_18_long_exp	A_18_short_exp	A_18_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	B_4_long_exp	B_4_short_exp	B_4_PDUI	B_5_long_exp	B_5_short_exp	B_5_PDUI	B_6_long_exp	B_6_short_exp	B_6_PDUI	B_7_long_exp	B_7_short_exp	B_7_PDUI	B_8_long_exp	B_8_short_exp	B_8_PDUI	B_9_long_exp	B_9_short_exp	B_9_PDUI	B_10_long_exp	B_10_short_exp	B_10_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
NM_025975.5	Dynlt3	chrX	-	8124.1	9655044	chrX:9654270-9656063	71.57	3.99	0.95	122.75	9.15	0.93	100.72	0	1	59.28	3.09	0.95	NA	NA	NA	821.93	116.89	0.88	419.51	36.68	0.92	109.71	23.25	0.83	325.31	34.01	0.91	220.37	26.11	0.89	438.59	6.66	0.99	473.45	51.58	0.9	32.36	0.3	0.99	NA	NA	NA	NA	NA	NA	237.56	66.89	0.78	41.72	6.18	0.87	565.11	257.83	0.69	42.41	10.36	0.8	273.98	60.41	0.82	NA	NA	NA	26.26	5.42	0.83	NA	NA	NA	59.57	16.62	0.78	249.34	12.75	0.95	97.47	14.11	0.87	221.98	42.01	0.84	173.96	53.85	0.76	0.898666667	0.83125	0.067416667	0.585449459	1	N
XR_878178.2	Rpl17-ps8	chrX	+	922990.3	96485041	chrX:96484840-96485497	299.78	68.47	0.81	404.47	96.55	0.81	296.16	58.69	0.83	244.82	29.37	0.89	125.06	29.34	0.81	2705.48	717.08	0.79	1420.38	337.35	0.81	534.61	59.67	0.9	925.97	155.36	0.86	535.91	111.04	0.83	1284.83	278.6	0.82	1182.67	203.74	0.85	118.4	21.29	0.85	63.16	31.72	0.67	60.65	20.42	0.75	821.82	237.74	0.78	157.93	38.27	0.8	1742.62	399.58	0.81	338.17	104.78	0.76	1672.06	592.37	0.74	105.11	23.38	0.82	125.81	7.4	0.94	100.35	35.37	0.74	314.71	130.06	0.71	2639.14	446.16	0.86	642.56	137.19	0.82	1826.59	448.14	0.8	1826.04	370.3	0.83	0.815	0.802	0.013	0.569379705	1	N
NM_012010.3	Eif2s3x	chrX	-	6116.4	94190389	chrX:94188709-94190922	76.48	4.84	0.94	130.76	0	1	124.48	0	1	92.02	0	1	41.51	0	1	724.03	67.6	0.91	407.74	27.43	0.94	184.5	25.72	0.88	284.88	0	1	170	0	1	432.21	37.17	0.92	443.83	0	1	45.46	0	1	NA	NA	NA	NA	NA	NA	345.37	31.41	0.92	60.94	3.1	0.95	623.43	0	1	89.37	0	1	494.59	0	1	NA	NA	NA	31.55	0	1	NA	NA	NA	77.96	5.39	0.94	569.36	0	1	179.56	0	1	512.4	0	1	267.67	30.01	0.9	0.96625	0.98	-0.01375	0.0432379	0.388028873	N
XR_001782742.1	Rbm3	chrX	-	15174.7	8142526	chrX:8142359-8142955	76.2	28.57	0.73	106.92	45.98	0.7	89.94	41.93	0.68	70.24	15.74	0.82	33.48	9.17	0.79	1515.35	204.47	0.88	700.8	301.13	0.7	162.24	98.38	0.62	196.98	65.96	0.75	166.03	19.59	0.89	281.17	129.14	0.69	449.44	106.14	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	150.48	53.17	0.74	38.52	4.51	0.9	599.05	105.72	0.85	70.16	48.56	0.59	534.7	202.76	0.73	25.19	15.32	0.62	63.42	0.4	0.99	65.75	26.9	0.71	167.46	32.22	0.84	1058.5	315.75	0.77	224.42	52.84	0.81	528.43	190.7	0.73	812.38	380.25	0.68	0.77	0.747	0.023	0.065795152	0.496980432	N
NM_001166409.2	Rbm3	chrX	-	15208.6	8142524	chrX:8142356-8142955	73.83	30.91	0.7	103.67	49.19	0.68	87.65	44.1	0.67	68.45	17.53	0.8	32.52	10.12	0.76	1464.71	256.25	0.85	676.26	325.42	0.68	158.52	101.82	0.61	189.49	73.4	0.72	160.83	24.95	0.87	274.13	135.85	0.67	437.69	117.84	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.52	58.07	0.71	37.64	5.4	0.87	583.12	121.75	0.83	68.86	49.68	0.58	522.7	214.34	0.71	24.56	15.92	0.61	61.28	2.61	0.96	63.61	28.99	0.69	163.1	36.57	0.82	1026.2	348.03	0.75	217.08	60.21	0.78	516.01	202.76	0.72	786.75	405.34	0.66	0.747333333	0.728	0.019333333	0.103544527	0.629725861	N
XM_006527703.3	Wdr13	chrX	-	3005.7	8124121	chrX:8123303-8125729	37.71	12.02	0.76	70.06	15.96	0.81	58.34	0	1	33.83	9	0.79	NA	NA	NA	414.54	130.97	0.76	267.25	66.35	0.8	75.01	20.28	0.79	234.38	6.44	0.97	172.31	0	1	313.4	109.3	0.74	302.8	98.32	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	172.28	24.01	0.88	33.14	1.96	0.94	476.68	112.29	0.81	42.2	3.7	0.92	202.19	25.92	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.83	5.2	0.91	180.7	12.16	0.94	76.94	7.26	0.91	169.19	40.48	0.81	125.71	17.2	0.88	0.842857143	0.894285714	-0.051428571	0.074638702	0.53345649	N
NM_028542.1	Wdr13	chrX	-	3004.4	8124121	chrX:8123301-8125729	37.75	11.98	0.76	70.05	15.96	0.81	58.38	0	1	33.85	8.98	0.79	NA	NA	NA	414.21	131.3	0.76	267.25	66.35	0.8	75.01	20.29	0.79	234.28	6.53	0.97	172.2	0	1	313.5	109.2	0.74	302.85	98.27	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	172.3	23.99	0.88	33.12	1.97	0.94	476.71	112.27	0.81	42.18	3.72	0.92	202.18	25.93	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.82	5.2	0.91	180.64	12.22	0.94	76.85	7.34	0.91	169.21	40.45	0.81	125.74	17.17	0.88	0.843571429	0.894285714	-0.050714286	0.105492555	0.633863772	N
NM_010413.3	Hdac6	chrX	-	8285.6	7930336	chrX:7930122-7930537	82.84	57.71	0.59	141.02	78.96	0.64	106.73	65.48	0.62	71.48	37.17	0.66	36.59	9.6	0.79	976.39	196.19	0.83	516.56	174.33	0.75	174.14	67.89	0.72	420.1	249.9	0.63	248.17	88.99	0.74	742.9	231.04	0.76	591.56	243.99	0.71	38.67	18.19	0.68	NA	NA	NA	NA	NA	NA	463.06	73.13	0.86	63.1	24.86	0.72	932.33	409.52	0.69	57.37	22.73	0.72	274.3	109.49	0.71	NA	NA	NA	27.9	16.39	0.63	NA	NA	NA	67.74	33.89	0.67	166.01	84.88	0.66	161.41	59.65	0.73	296.73	69.52	0.81	145.78	57.2	0.72	0.711875	0.70625	0.005625	0.850401686	1	N
XM_006527567.2	Hdac6	chrX	-	8408.5	7930336	chrX:7930116-7930537	81.59	58.96	0.58	138.61	81.37	0.63	105.06	67.15	0.61	70.79	37.86	0.65	36.01	10.17	0.78	960.73	211.86	0.82	509.9	180.98	0.74	171.84	70.19	0.71	414.66	255.34	0.62	245.91	91.24	0.73	734.15	239.78	0.75	585.42	250.14	0.7	38	18.86	0.67	NA	NA	NA	NA	NA	NA	457.59	78.61	0.85	62.02	25.94	0.71	920.78	421.06	0.69	56.39	23.71	0.7	270.96	112.82	0.71	NA	NA	NA	27.58	16.71	0.62	NA	NA	NA	67.31	34.31	0.66	163.98	86.91	0.65	159.04	62.01	0.72	293.05	73.19	0.8	143.88	59.1	0.71	0.7025	0.69625	0.00625	0.852276069	1	N
NM_013892.3	Pcsk1n	chrX	+	456402.6	7923167	chrX:7922908-7924276	83.22	3667.6	0.02	96.45	3148.19	0.03	62.89	2324.97	0.03	41.77	1825.51	0.02	18.86	668.54	0.03	404.04	15602.58	0.03	254.74	10283	0.02	101.28	4231.35	0.02	197.14	7669.44	0.03	128.43	4247.25	0.03	396.19	15248.48	0.03	281.89	10560.52	0.03	21.52	803.34	0.03	8.58	367.12	0.02	7.88	259.89	0.03	206.16	7236.35	0.03	31.87	1201.38	0.03	514.33	18369.71	0.03	42.95	2180.56	0.02	198.5	7250.43	0.03	7.98	366.46	0.02	20.89	738.96	0.03	12.22	420	0.03	54.76	2035.68	0.03	76.19	3308.1	0.02	86.52	2828.51	0.03	142.64	5438.11	0.03	88.55	2850.88	0.03	0.027222222	0.027	0.000222222	0.942863484	1	N
NR_132589.1	Timm17b	chrX	+	585.5	7906796	chrX:7906488-7907652	9.58	55.34	0.15	15.06	70.9	0.18	10.3	42.55	0.19	6.34	35.67	0.15	NA	NA	NA	70.21	333.6	0.17	47.63	191.93	0.2	25.47	75.45	0.25	21.28	109.99	0.16	25.82	94.85	0.21	39.98	232.72	0.15	50.91	188.63	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.41	139.57	0.22	NA	NA	NA	108.09	377.29	0.22	4.45	53.14	0.08	28.8	226.58	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.46	47.2	0.15	31.87	244.09	0.12	15.11	90.51	0.14	22.15	200.78	0.1	31.9	159.32	0.17	0.189230769	0.124285714	0.064945055	0.079150285	0.555046342	N
XM_017318459.1	Timm17b	chrX	+	568.6	7906735	chrX:7906488-7906867	40.2	30.97	0.56	57.82	35.45	0.62	46.77	7.84	0.86	29.38	15.84	0.65	NA	NA	NA	265.43	173.94	0.6	192	60.18	0.76	104.29	0	1	78.9	65.94	0.54	126.94	0	1	177.42	120.19	0.6	210.76	36.83	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	163.82	19.23	0.89	NA	NA	NA	423.65	79.15	0.84	33.57	30.24	0.53	207.71	60.68	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.67	11.4	0.8	192.71	104.81	0.65	70.97	43.48	0.62	192.46	38.66	0.83	132.47	73.67	0.64	0.751538462	0.691428571	0.06010989	0.413566607	1	N
XM_006527654.1	Pqbp1	chrX	-	1144	7894666	chrX:7894520-7894867	53.05	24.52	0.68	83.77	42.26	0.66	56.13	9.95	0.85	37.63	18.79	0.67	NA	NA	NA	483.04	116.89	0.81	276.4	96.03	0.74	85	57.97	0.59	135.05	89.3	0.6	65.18	27.91	0.7	283.07	146.19	0.66	173.71	174.07	0.5	20.28	12.18	0.62	NA	NA	NA	NA	NA	NA	125.15	91.83	0.58	15.81	18.67	0.46	383.77	255.59	0.6	61.36	17.07	0.78	194.01	100.7	0.66	NA	NA	NA	29.42	4.17	0.88	NA	NA	NA	46.24	25.85	0.64	271.71	91.15	0.75	88.71	50.68	0.64	176.03	101.36	0.63	176.28	90.08	0.66	0.648	0.705	-0.057	0.603256635	1	N
NM_019478.4	Pqbp1	chrX	-	1144	7894666	chrX:7894519-7894867	53.05	24.52	0.68	83.77	42.26	0.66	56.13	9.95	0.85	37.63	18.79	0.67	NA	NA	NA	483.04	116.89	0.81	276.4	96.03	0.74	85	57.97	0.59	135.05	89.3	0.6	65.18	27.91	0.7	283.07	146.19	0.66	173.71	174.07	0.5	20.28	12.18	0.62	NA	NA	NA	NA	NA	NA	125.15	91.83	0.58	15.81	18.67	0.46	383.77	255.59	0.6	61.36	17.07	0.78	194.01	100.7	0.66	NA	NA	NA	29.42	4.17	0.88	NA	NA	NA	46.24	25.85	0.64	271.71	91.15	0.75	88.71	50.68	0.64	176.03	101.36	0.63	176.28	90.08	0.66	0.648	0.705	-0.057	0.603256635	1	N
NM_001083937.1	Slc35a2	chrX	+	2257.4	7892826	chrX:7892140-7894027	33.48	18.16	0.65	55.79	10.48	0.84	39.77	1.18	0.97	NA	NA	NA	NA	NA	NA	335.26	56.55	0.86	197.25	0	1	65.18	1.54	0.98	129.67	0	1	111.75	0	1	268.79	41.23	0.87	214.63	29.32	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	136.44	7.64	0.95	NA	NA	NA	383.46	48.82	0.89	29.76	4.46	0.87	153.07	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.98	0	1	125.08	14.5	0.9	64.65	5.35	0.92	125.66	7.68	0.94	115.07	2.32	0.98	0.9075	0.944285714	-0.036785714	0.153212972	0.759399212	N
NM_138606.2	Pim2	chrX	+	4126.7	7882568	chrX:7882354-7883432	91.91	41.12	0.69	177.07	53.51	0.77	86.09	11.44	0.88	65.3	14.02	0.82	31.64	1.45	0.96	843.55	134.17	0.86	417.17	125.69	0.77	153.49	62.17	0.71	374.28	74.08	0.83	242.35	31.03	0.89	570.69	158.31	0.78	541.66	199.17	0.73	35.01	8.36	0.81	NA	NA	NA	NA	NA	NA	274.92	56.93	0.83	43.59	8.55	0.84	985.1	200.35	0.83	48.76	20.24	0.71	245.68	137.03	0.64	NA	NA	NA	25.04	8.39	0.75	NA	NA	NA	59.25	19.1	0.76	262.37	119.89	0.69	102.88	43.76	0.7	235.68	100.23	0.7	182.63	73.7	0.71	0.8125	0.7075	0.105	0.001586433	0.030855294	N
NM_138604.3	Otud5	chrX	+	6091.1	7875153	chrX:7874233-7876626	30.17	70.52	0.3	56.46	94.19	0.37	33.04	79.03	0.29	23.34	53.66	0.3	9.9	23.67	0.29	265.8	633.93	0.3	139.68	393.21	0.26	53.4	118.79	0.31	116.51	297.82	0.28	75.79	181.66	0.29	173.81	480.08	0.27	195.02	410.96	0.32	12.48	27.83	0.31	NA	NA	NA	NA	NA	NA	104.62	195.61	0.35	14	38.75	0.27	272.23	618.35	0.31	27.33	63.53	0.3	136.37	369.21	0.27	NA	NA	NA	12.98	34.94	0.27	10.98	22.08	0.33	40.63	85.18	0.32	94.72	326.15	0.23	47.88	110.49	0.3	126.03	299.86	0.3	88.01	241.85	0.27	0.30125	0.287777778	0.013472222	0.510983552	1	N
XM_006527666.3	Otud5	chrX	+	6100	7875153	chrX:7874233-7876622	30.19	70.5	0.3	56.49	94.16	0.37	33.05	79.02	0.29	23.36	53.64	0.3	9.89	23.68	0.29	265.99	633.73	0.3	139.6	393.28	0.26	53.45	118.73	0.31	116.54	297.78	0.28	75.72	181.74	0.29	173.86	480.03	0.27	195.14	410.84	0.32	12.48	27.83	0.31	NA	NA	NA	NA	NA	NA	104.68	195.55	0.35	14	38.75	0.27	272.29	618.28	0.31	27.33	63.54	0.3	136.4	369.18	0.27	NA	NA	NA	12.98	34.94	0.27	10.98	22.09	0.33	40.64	85.17	0.32	94.74	326.13	0.23	47.93	110.44	0.3	126.13	299.76	0.3	88.09	241.76	0.27	0.30125	0.287777778	0.013472222	0.573638612	1	N
NM_001290536.1	Otud5	chrX	+	6083.7	7875153	chrX:7874230-7876626	30.17	70.56	0.3	56.46	94.3	0.37	33.04	79.06	0.29	23.34	53.68	0.3	9.9	23.67	0.29	265.8	633.53	0.3	139.68	393.46	0.26	53.4	118.83	0.31	116.51	297.7	0.28	75.79	181.62	0.29	173.81	480.08	0.27	195.02	411.18	0.32	12.48	27.8	0.31	NA	NA	NA	NA	NA	NA	104.62	195.58	0.35	14	38.76	0.27	272.23	618.25	0.31	27.33	63.56	0.3	136.37	369.12	0.27	NA	NA	NA	12.98	34.97	0.27	10.98	22.08	0.33	40.63	85.2	0.32	94.72	326.35	0.22	47.88	110.55	0.3	126.03	299.98	0.3	88.01	242.04	0.27	0.30125	0.286666667	0.014583333	0.510983552	1	N
XM_006527664.3	Otud5	chrX	+	6092.7	7875153	chrX:7874230-7876622	30.19	70.54	0.3	56.49	94.27	0.37	33.05	79.04	0.29	23.36	53.66	0.3	9.89	23.68	0.29	265.99	633.34	0.3	139.6	393.54	0.26	53.45	118.77	0.31	116.54	297.67	0.28	75.72	181.7	0.29	173.86	480.03	0.27	195.14	411.06	0.32	12.48	27.8	0.31	NA	NA	NA	NA	NA	NA	104.68	195.52	0.35	14	38.76	0.27	272.29	618.19	0.31	27.33	63.57	0.3	136.4	369.09	0.27	NA	NA	NA	12.98	34.97	0.27	10.98	22.09	0.33	40.64	85.19	0.32	94.74	326.33	0.23	47.93	110.5	0.3	126.13	299.88	0.3	88.09	241.96	0.27	0.30125	0.287777778	0.013472222	0.573638612	1	N
NM_207670.2	Gripap1	chrX	+	1213.4	7820214	chrX:7820002-7820567	30.29	31.55	0.49	55.39	36.19	0.6	34.17	46.55	0.42	28.69	15.31	0.65	NA	NA	NA	209.01	235.56	0.47	164.98	214.59	0.43	53.35	38.75	0.58	120.7	173.76	0.41	103.76	81.13	0.56	261.32	204.1	0.56	241.63	194.31	0.55	14.62	15.52	0.49	NA	NA	NA	NA	NA	NA	139.04	77.49	0.64	22.81	10.6	0.68	395.36	310.52	0.56	30.82	22	0.58	172.18	102.07	0.63	NA	NA	NA	18.01	17.09	0.51	NA	NA	NA	45	27.03	0.62	159.25	173.38	0.48	61.05	54.19	0.53	154.15	127.38	0.55	115.17	99.89	0.54	0.539333333	0.555	-0.015666667	0.687933927	1	N
XM_017318570.1	Gripap1	chrX	+	1183.3	7820214	chrX:7820002-7820563	30.6	31.25	0.49	55.81	35.77	0.61	34.54	46.19	0.43	28.97	15.03	0.66	NA	NA	NA	210.44	234.13	0.47	166.15	213.42	0.44	53.79	38.32	0.58	121.48	172.97	0.41	104.33	80.56	0.56	262.85	202.57	0.56	243.32	192.62	0.56	14.75	15.39	0.49	NA	NA	NA	NA	NA	NA	140	76.54	0.65	22.97	10.45	0.69	398.33	307.56	0.56	31.09	21.73	0.59	173.44	100.81	0.63	NA	NA	NA	18.12	16.98	0.52	NA	NA	NA	45.29	26.75	0.63	160.3	172.33	0.48	61.42	53.83	0.53	155.38	126.15	0.55	116.14	98.93	0.54	0.544	0.55875	-0.01475	0.68792495	1	N
